start	end	text
3501550	3505750	zu übernehmen, aber ich sehe erstmal keine
3505750	3509010	akute Gefahr, dass
3509010	3557380	er uns irgendwie angreifen würde, wenn wir dort wären, ja. Eine Möglichkeit
3557380	3561560	wäre auch, dass wir G4-X mitnehmen, G4-X trägt Daro Fel
3561560	3565420	und wir laufen zu viert in sein Büro, selbst
3565420	3572440	lass mich zu Ende reden, wir laufen
3572440	3576660	zu viert in sein Büro, selbst wenn er uns dort angreifen wollen würde,
3576840	3580760	wären wir zu viert immer noch eine Gefahr für ihn und könnten uns dort
3580760	3582200	ihm gegenüber zur Wehr setzen.
3621880	3662700	Die Frage, wieso wollen wir Sie da reinziehen? Wir können auch
3662700	3667800	einfach in der Blue Ember Bar anrufen. Wir werden eine Möglichkeit
3667800	3671540	herausfinden, wie man die Bar an sich kontaktieren kann und dann können wir
3671540	3675300	sagen, dass wir das Paket, die Bestellung
3675300	3677520	von Rax Vonn haben und
3677520	3679820	wir einen Treffpunkt
3679820	3681780	ausmachen wollen zur Übergabe.
3686350	3687550	Und wir können einen
3687550	3691190	Kontakt geben für die
3691190	3693510	Rückkontaktaufnahme, falls
3693510	3695530	er mit uns diskutieren will, wieso wir das so machen
3695530	3697490	wollen, können wir ihm genau das erklären, was du gerade
3697490	3698110	gesagt hast, kann.
3699850	3701050	Dass es aufgrund der
3701050	3703390	Umstände
3703390	3705410	zu auffällig wäre,
3706370	3707590	damit in die Blue Ember Bar zu
3707590	3736500	kommen. In Ordnung.
3736540	3830980	Also dann machen wir einen Austausch mit ihm morgen Vormittag raus. Morgen in den frühen Morgenstunden. In Ordnung.
3830980	3883500	Ja, wir sind ja einige Male durch die Steppe gefahren mit unserem Speeder. Ich denke, ich weiß nicht, sind uns da irgendwelche auffälligen Landschaftsmerkmale ungefähr auf der Hälfte der Strecke zwischen Capital City und der Turbot aufgefallen, die sich dafür eignen könnten?
3883740	4095360	Ja, es wird ja irgendwie über das Holo eine Möglichkeit geben, da für Tischreservierungen oder so die zu kontaktieren.
4162680	4164920	Dann ist die Frage, wie ihr in der Zeit zu dem
4164920	4166640	Schrottplatz kommt, um euch den anzuschauen.
4173760	4174760	Ich kann euch, wir können
4174760	4177140	auf dem Hinweg dort halten und auf dem Rückweg
4177140	4179340	sammeln, Gags oder Vanira
4179340	4180920	und, ne, sammle ich euch wieder ein.
4181000	4182280	Ich kann den Speeder auch alleine fliegen.
4218430	4238380	Also, ne, mit dem
4238380	4250760	Speeder. Also ich würde
4250760	4252540	natürlich dann auch nochmal gucken, dass ich
4252540	4253100	meine
4253100	4256680	Wunden irgendwie verbinde
4256680	4258760	oder das schon getan haben
4258760	4260860	und meine Sachen irgendwie sauber waschen
4260860	4262640	und versuchen, da die Blutflecken rauszuwaschen
4262640	4264680	und so, wie einigermaßen
4264680	4265680	annehmlich aussehe.
4301780	4303060	Outrest heißt was nochmal genau?
4321500	4322640	Das heißt, wenn ich drei Hit-Dice
4322640	4324280	habe, dann kriege ich jetzt drei Hit-Points wieder.
4365460	4366880	Das heißt, ich habe jetzt noch zwei
4366880	4368900	quasi von meinen drei und ich habe jetzt acht
4368900	4369940	wieder gekriegt, das heißt,
4372610	4374050	dann würde ich noch einen nehmen.
4409340	4409740	Gut.
4511760	4513400	Okay, also wir machen uns auf den Weg
4513400	4516250	zu dem Schrottplatz.
4643830	4644930	Bisher war es immer irgendwie so
4644930	4645510	zwei Stunden.
4648860	4650100	Genau, hätte ich jetzt auch gesagt.
5038400	5039680	Dann sind wir jetzt so eine Dreiviertelstunde.
5296400	5298180	Geil, rickst du, murmelt so vor sich hin.
5298780	5299220	Verschwendung.
5331540	5333080	Sex. Fail.
5617160	5620560	Auch jetzt.
5621020	5634400	Ich denke, es ist sinnvoll, ihr setzt mich in der Nähe ab.
5634460	5636000	Ich gehe dort zu Fuß hin. Ihr wartet
5636000	5638380	vielleicht bei Jo.
5639160	5640040	Dort treffen wir uns wieder.
5640700	5641960	Und dann fliegen wir zusammen zurück.
5685070	5685430	16.
5781410	5781810	Sind denn
5781810	5785350	andere Leute noch unterwegs?
5786290	5786730	Zivilisten?
5787850	5790030	Aber es sind noch welche unterwegs, ja.
5900060	5902540	Ich denke, Komaru ist wieder gefahren.
6017440	6018740	Dann wartet dort in der Nähe.
6018920	6023720	Aber wir sollten nicht per Funk mit denen kommunizieren,
6023800	6026080	weil gerade das haben sie ja überwacht.
6046420	6048940	Wir sind ja schon ziemlich in der Stadt drin.
6081470	6082410	Ich denke schon, ja.
6099070	6099530	Natürlich.
6159790	6163270	Also ich denke, da sind ja auch andere Leute unterwegs.
6163270	6166990	Die sind wahrscheinlich eher...
6167550	6172530	eingeschüchtert gucken sich jetzt die imperialen nicht so besonders genau an ich würde halt genauso
6172530	6181050	versuchen das so zu imitieren ja so auf dem boden gucken mein weg gezielt den weg gezielt zu gehen
6181050	6189170	natürlich darauf achten dass ich nicht irgendwie imperialen truppe da in die arme laufen genau aber
6189170	6195530	Aber so wie jemand, der nach der Arbeit zurück nach Hause will und jetzt keinen Umweg mehr geht.
6205800	6208180	Ja, so wie vorher auch.
6208660	6213500	Wahrscheinlich, also ich habe irgendwie, man sieht schon, dass ich eine Rüstung anhabe, gehe ich mal von aus.
6217960	6220360	Wir haben jetzt nicht gesagt, dass wir die Waffen irgendwie nicht mitnehmen.
6220540	6223140	Deswegen habe ich meine Waffen wahrscheinlich da.
6228570	6230490	Achso, ja, guter Punkt.
6230490	6235310	ja, also ich würde mal
6235310	6237390	die, weiß nicht, die offensichtlichen Waffen,
6237430	6239350	die ich dabei habe, die würde ich da lassen.
6240930	6241570	Das heißt,
6241730	6243390	wenn ich irgendwie die Möglichkeit habe,
6243450	6245550	eine Pistole zu verstecken, dann nehme ich die mit.
6245630	6246710	Ansonsten habe ich halt noch mal
6246710	6249810	eine versteckte Klinge.
6253670	6254030	Und
6254030	6263580	ja, genau.
6266050	6267030	Und dann genau, irgendwie
6267030	6269050	eine Jacke oder so überziehen,
6269050	6271030	dass man jetzt nicht sieht,
6271030	6471890	dass ich so eine Rüstung an habe. Ja, 19. Hörst du das schon? Ja, 4. Ja, ich versuche das natürlich, die Ablenkung irgendwie zu nutzen und möglichst wenig aufmerksam kontrolliert vielleicht da über die Straße zu kommen und gehe dann auf die andere Seite.
6471890	6474590	oder wenn ich da durch muss, dann halt da irgendwie dazu.
6517730	6565200	Gut. Ja, ich erwarte
6565200	6569200	einen meiner bekannten Rodiana-Freunde vor der Tür zu sehen.
6572380	6573660	Nicke ihm zu,
6573880	6577120	wer auch immer von den beiden das jetzt ist und er will direkt reingehen.
6586850	6588590	Okay, alles klar.
6638100	6639460	Ja, woran das wohl liegt.
6639460	6641520	also ich
6641520	6644280	gehe relativ zielstrebig
6644280	6645200	zu dieser Treppe
6645200	6647180	wo es nach oben geht
6647180	6652840	und halte Ausschau nach dem
6652840	6665520	anderen Rodianer
6665520	6671610	Schweinchen
6671610	6672070	Orks
6672070	6694960	Ich muss ein wichtiges
6694960	6697040	Gespräch mit Rax Vonn führen
6697040	6707740	Du kannst
6707740	6709300	ihm einfach sagen, der
6709300	6713400	wie heißt
6713400	6714200	meine Rasse noch?
6716280	6729900	Ein Chiss, genau. Sag ihm, der Chiss ist da, der das Nadelstreifenpaket besorgen sollte.
6739500	6902540	Wir haben die Zielpersonen extrahiert und verwahren sie aktuell außerhalb der Stadt.
6902540	6908280	Und ich bin hier, um mit dir einen sicheren Ausübergabeplatz abzustimmen.
6909760	6914460	Ich gucke so Richtung aus der Kantina raus.
6916020	6920120	Das Imperium scheint die Überwachung zu verstärken.
6922240	6929680	Wir haben auch in der Wetterstation handfeste Hinweise auf eine flächendeckende Funküberwachung gefunden,
6929680	6936900	weswegen ich persönlich vorbeigekommen bin, um das abzustimmen, damit wir nicht abgehört werden können.
6936900	6995470	In der Stadt, außerhalb der Stadt, 15 Minuten westlich, gibt es einen alten Schrottplatz. Dort werden wir den Nadelstreifenanzug morgen früh hinbringen und wir werden ihn dort gegen den Jammer wie abgesprochen austauschen. Dort sind wir vor den Überwachungen des Imperiums sicher und wir können die Übergabe vor Ort durchführen.
6995470	7020680	nun wir müssen zurück zu unserem schiff und wieder dorthin wir könnten es auch
7020680	7025660	ist wieder dort sind wäre es mitten in der nacht zwei drei vier uhr wenn euch
7025660	7035760	das lieber ist wie spät ist es jetzt ist es jetzt irgendwie so neun uhr oder was
7035760	7047080	acht uhr also ich denke zwei uhr das sollten wir
7047080	7108150	schaffen erlebt noch das sollte kein problem darstellen in der in dem safe
7108150	7120720	haben wir nichts finden können von ihm ja wir haben nichts finden können von ihm ich weiß ja
7120720	7148800	er hat gesagt dass er irgendwas am raumhafen platziert hat also er dort ist ein
7148800	7159770	Frachter der Gozanti klasse "the common ground" dort auf der linken seite ist eine größere freifläche
7159770	7216290	wo man sicher parken kann das denke ich eignet sich gut. das sehe ich auch so. dann drehe ich mich
7216290	7303740	um und raus wir haben alles geklärt und dann gehe ich das ist mir aufgefallen genau ich gehe einfach
7303740	7308780	wieder nach draußen und guckt dass ich möglichst schnell genauso unauffällig wieder zurückkommen
7308780	7316260	ist mehr irgendwie unterwegs noch mal eine stelle aufgefallen wo ich über diese straße komme wo
7316260	7347340	die noch nicht so weit eingerichtet wäre 16 wir waren ja wir waren ja mit dieser straßenbahn da
7347340	7355320	unterwegs das letzte mal wo sind denn da die zugänge zu und dann würde ich da mal nach einem
7355320	7373300	stadtplan gucken ob ich da irgendwie besser mit in die nähe komme wenn die nicht überwacht sind ja
7373300	7375700	Was heißt tiefer? Das sind fünf Minuten zu gehen?
7377640	7380220	Den Umweg nehme ich dann in Kauf.
7380640	7386380	Da wird ja dann ein Stadtplan sein, ob ich da eine nähere Station finde,
7386500	7389300	womit ich diese Basenkreuzung umgehen könnte.
7410220	7412400	Dann gehe ich da nicht rein.
7413260	7416540	Dann ist die Frage, wie lange dauert das, bis die Bahn kommt.
7416540	7418460	Dann werde ich beim Rausgehen noch einmal kontrolliert.
7418640	7422360	Dann nehme ich das kleinere Übel, das ich da einmal über die Straße muss.
7440420	7500600	Also ich bin gerade auf dem Nachhauseweg. Ich habe noch ein Getränk in meiner Lieblingskantine zugenommen und will jetzt in mein Apartment. Und so gehe ich da dran, gehe ich zu diesem Übergang.
7500600	7503080	und genau,
7503840	7505380	wenn erstmal so,
7505720	7507500	werden ja nicht
7507500	7509480	alle da irgendwie warten, ob sie jetzt kontrolliert
7509480	7511580	werden, sondern erstmal gehen und schauen.
7512780	7559360	Auch Glück
7559360	7559920	gehört dazu.
7561840	7588880	Okay.
7598930	7600750	Alles geklärt. Wir haben einen offenen
7600750	7602930	Punkt. Rax hat
7602930	7604870	nach den entwendeten Finanzmitteln
7604870	7606850	von unserem Freund
7606850	7608990	gefragt und
7608990	7611130	wenn ich mich richtig erinnere,
7611130	7613890	dann haben wir ihm gesagt, dass wir am Schließfach waren.
7615010	7622090	Das heißt, er wird diese Information an Rax weitergeben, wenn dieser ihn befragt.
7627300	7631720	Ich habe Rax nichts davon gesagt, dass wir dort waren.
7633320	7635460	Das heißt, wir müssen uns überlegen, was wir damit machen.
7636120	7645240	Und aufgrund der aktuellen Situation hat Rax dazu gedrungen, die Übergabe früher zu machen.
7645240	7653240	Wir haben uns auf zwei Uhr diese Nacht geeinigt. Und ich denke, wenn man sich das hier anschaut, es ist besser, wir bringen das so schnell wie möglich hinter uns.
7682160	7687800	Die Frage, die wir jetzt, bevor wir losfahren, klären sollten, ist, wollen wir hier bleiben?
7688660	7697000	Dann sollten wir überlegen, wie wir diese Schließfachnummer entschärfen, weil wir sonst mit dem Kartell verscherzen werden, wenn wir das nicht aufklären.
7697000	7704000	Wenn wir vom Planeten weg wollen, dann können wir das vielleicht auch ignorieren.
7741790	7749170	Ganz ehrlich, mich hält nichts hier. Wir haben alles, was wir hier erledigen wollten. Meiner Meinung nach sollten wir von hier verschwinden.
7794830	7799750	Du meinst vor Daro Fel? Daro Fel schläft. Er wird auch wahrscheinlich so, wie ich Vanira kenne.
7799750	7884480	Ja, wir haben aus dem Schließfach 17.000 entwendet. Aber haben wir, ich denke auch, ja, ich denke, ein Versuch, der vielleicht funktionieren könnte, wäre zu sagen, dass wir auf dem Rückweg dort noch vorbeigeschaut haben, aber selbst das klingt in der aktuellen Situation sehr unglaubwürdig.
7884480	7934080	Das würde ich auch so sehen. Er hat noch mal erwähnt, dass er sehr zufrieden mit unserer Arbeit ist und es ihn beeindruckt hat, wie schnell wir zu Ergebnissen gekommen sind und dass wir bisher einen guten Auftrag oder eine gute Arbeit erledigt haben und dass er möchte, dass wir es zu einem guten Ende bringen.
7934080	7957920	Das war sicherlich auch eine Drohung, dass wir ihm dieses Geld nicht vorenthalten sollen. Aber ansonsten sehe ich das genauso ganz. Er würde es an unserer Stelle auch mitnehmen. Aber wie gesagt, wenn wir auf Lothal bleiben wollen und uns diese Minen anschauen wollen, dann müssen wir uns überlegen, was wir mit dem Geld, mit dem Schließfach machen.
7957920	7960020	wahrscheinlich wäre der erfolgreichste
7960020	7962460	Ansatz, einfach ehrlich zu sein
7962460	7964300	und zu sagen, wir haben uns das
7964300	7966340	aus dem Schließfach geholt und
7966340	7968320	hier ist das Geld. Das sind 17.000 Pferde, die wir
7968320	7972010	dort gefunden haben, wenn wir hier
7972010	7972510	bleiben wollen.
7987530	7988630	So sehe ich das auch, ja.
7993450	7994110	Das haben wir
7994110	7995490	ihm gesagt und er wollte weg von hier.
7995910	7996970	Wir sollten ihn nicht hier lassen.
8048490	8050630	Mein Bauchgefühl sagt mir, wir sollten ihn nicht
8050630	8067240	hier lassen, weswegen wir ursprünglich
8067240	8067600	hier sind.
8067600	8103580	ja, ok, dann lass uns zusehen, dass wir zurück
8103580	8216880	zu Turbot kommen
