start	end	text
2263020	2271940	dass wir zwar in den Tempel gehen, um das zu untersuchen und was auch immer ihr für richtig
2271940	2276700	haltet, ich werde euch dabei unterstützen, aber wir im Gegenzug nicht eine medizinische Behandlung
2276700	2285500	Handlung auf dem Sternenzerstörer da oben heraushandeln, sondern stattdessen einen imperialen
2285500	2293260	Passierschein mit einem Empfehlungsschreiben zum nächsten Planet mit einem gut sortierten Krankenhaus.
2308060	2487860	Ja, ja, da wäre ich auch dafür. Was für einen Eindruck machte denn diese Frau auf euch, als ihr
2487860	2489820	wenn Sie befragt habt,
2491680	2492120	ist sie
2492120	2495340	irgendwie vom Geheimdienst?
2495640	2496120	Was meint ihr?
2497600	2499540	Ist sie eine Altertumsforscherin?
2499540	2501320	Was will sie hier eigentlich?
2507210	2508530	Diese, ja.
2728720	2730100	Ist auch irgendwie so.
2757160	2758740	Aber sie hatte schon vorgeschlagen,
2758840	2759940	da reinzuwollen, ne?
2778580	2778820	Ja.
2794780	2796160	Der Tempel ist etwas,
2796180	2797340	wo wir zu Fuß hin müssen, oder?
2819680	2896330	Ah, okay. Dann machen wir das.
2896390	2983400	Wer hat denn Heavy Blaster jetzt?
3038640	3041680	Ist das eine Waffe, die Sie einhändig führen könnte, theoretisch?
3051310	3055910	Dann würde ich sagen, wir sollten sie...
3055910	3058290	Ja, richtig.
3064020	3091390	Ja, okay.
3092930	3097050	Dann, wer pilotiert die Brille?
3097250	3099930	Soll ich das machen, oder macht das...
3099930	3102530	Ja, wer war das? Garrixto, oder wer ist unser anderer Pilot?
3103850	3104690	Ich hab's vergessen.
3243200	3248420	Ich weiß nicht, ob Dr. Rath sie schon kennengelernt hat, offiziell.
3249020	3251680	Jedenfalls, wenn nicht, dann würde er sich jetzt vorstellen.
3261970	3264370	Tut mir leid, mehr war leider nichts zu machen.
3277360	3284330	Ich, ja, ja, ja, das stimmt.
3293570	3296710	Das ist eine lange Geschichte, für die wir vielleicht später einmal Zeit haben,
3296710	3299310	wenn wir uns dick und fest angefreundet haben.
3309310	3312750	Ich halte es für am besten, wenn ihr in der Mitte bleibt, gnädige Frau.
3312750	3357780	Let's go inside.
3358280	3360240	I'm so great at wisdom checks.
3364950	3365310	Alles
3365310	3366750	plus null.
3377620	3392840	Also, wir sind ja jetzt da zu Fuß
3392840	3393880	am Latschen.
3395320	3396040	Ich
3396040	3398100	möchte gerne
3398100	3400760	versuchen,
3400760	3402980	einen günstigen Moment abzupassen,
3403800	3404480	indem
3404480	3406880	meine
3406880	3408760	Mitstreiter
3408760	3409600	Streiter
3409600	3412280	nicht unbedingt
3412280	3414160	auf mich oder
3414160	3416100	Captain Nero gucken,
3417360	3417640	was
3417640	3420000	wahrscheinlich nicht einfach ist, aber
3420000	3422600	wenn ich der Meinung bin, es ist ein
3422600	3424720	günstiger Moment, versuche ich
3424720	3426900	ihr meinen Vibro-Dagger zuzustecken.
3435340	3436040	Was für ein Wurf?
3444540	3445980	Ja, ja, ja. Ich hatte es
3445980	3447100	akustisch nicht verstanden.
3456120	3458100	Kann ich eventuell da einen Vorteil
3458100	3459960	aushandeln, falls ich einen guten
3459960	3461180	Perception-Check mache?
3461180	3466740	keine Ahnung, ob das gelingt, aber wir versuchen einfach mal
3466740	3467440	einen Perception-Check.
3472030	3472210	Wow.
3478150	3510560	Ich denke mir, mit dem Dolch
3510560	3512260	kann sie sich im Zweifelsfall verteidigen,
3512300	3514240	wenn es hart auf hart kommt, aber wahrscheinlich nicht zu viel
3514240	3516200	Schaden anrichten gegen uns.
3516200	3516700	Das ist
3516700	3519440	mein Gedankengang, aber
3519440	3520680	wir werden sehen.
3531920	3536560	Weiter geht's.
3583080	3584180	Das ist ja faszinierend.
3606280	3608240	Aber es ist jetzt nicht hochgalaktisch
3608240	3609020	oder so.
3609580	3618100	Because das könnte ich, aber wir versuchen mal den Lore-Check.
3683280	3691860	So, etwas entgleitet mir, meine Gesichtszüge entgleiten mir etwas und mir entfährt ein...
3692900	3693800	Holy shit!
3706300	3722630	Moment, wer ist jetzt hier alles mit dabei?
3722630	3743470	Okay, Kalem.
3743470	3746650	Helm, der
3746650	3748950	Einfluss hier,
3750310	3752450	was auf dich Einfluss genommen hat,
3753970	3755010	spürst du das
3755010	3756470	wieder?
3789510	3850810	Jedenfalls, sei auf jeden Fall
3850810	3852750	vorsichtig, das ist hier
3852750	3855170	unheimlicher Kram.
3855530	3857010	Mit dem hat man uns als Kinder
3857010	3857870	schon Angst gemacht.
3910260	3912580	Wenn ihr so schlecht seid, dann sollten wir
3912580	3913640	euch vielleicht wieder an uns nehmen.
3941420	3941900	Apropos,
3941900	3943580	Wo sind denn eigentlich diese Black Sun-Leute?
3946260	3946960	Irgendwelche Spuren?
3955000	3955780	Ich renne hinterher.
4092140	4106100	Ich möchte eigentlich nicht zurückfallen, wenn das geht.
4106920	4115030	Und möchte versuchen, sie dazu zu bewegen, langsamer zu werden.
4116570	4123030	Also ich versuche, sie zu überreden, mit hastigem Atem hinterherrennend.
4123030	4131490	alleine haben sie weniger Chancen, eilen sie doch nicht in ihren Untergang. Wir sind gemeinsam hier
4131490	4137670	angekommen, wir werden auch gemeinsam das hier erforschen und gemeinsam wieder gehen. Keuchend,
4137670	4175490	so gut ich das kann. Unglückliche Umstände, Missverständnis, unglückliche Umstände. Das hätte
4175490	4176570	man auch anders lösen können.
4176570	4177830	Aber egal.
4178410	4179510	Dafür habe ich jetzt keinen Atem.
4194160	4194980	Let's go.
4199260	4199860	Nice.
4200640	4203520	Ich habe allerdings, also ich weiß nicht,
4203560	4204740	ob das jetzt noch zählt,
4205520	4206380	weil hier schon was,
4207000	4209080	ich habe ja hier
4209080	4213820	so eine bestimmte,
4214580	4217080	durch die Rasse bedingt,
4218000	4219460	irgendeine Perception-Fähigkeit
4219460	4220320	hier. Moment.
4220320	4227880	Whenever you make a wisdom perception check related to sight,
4228200	4231280	you are considered to have expertise in this perception skill.
4232260	4234560	Das hat er wahrscheinlich schon draufgerechnet, nehme ich an.
4237530	4238150	Ja, ja, ja.
4239670	4241830	Dann ist das schon drauf. Never mind.
4257780	4261000	Mit meinem Deutsch wäre das nicht passiert.
4270720	4271600	Nicht weit.
4277020	4281120	Ja, denn ich habe meine Armor Class von 13.
4281120	4294160	das heißt mir hilft jetzt auch mein Reaction Shield nicht weiter. Allerdings habe ich den
4294160	4343540	Absorbing Amplifier. Das da. Ich nehme an, das ist Energy, aber ich habe mir noch keine Gedanken gemacht. Das ist mein erster
4343540	4345320	meine erste Kampfsituation hier, sorry.
4356660	4367610	Okay. Aha.
4369130	4370990	Wo notiere ich denn das jetzt?
4379170	4424390	Ja. Also erstmal,
4424510	4426510	ich kriege also vier Schadenspunkte, die muss ich mir
4426510	4427530	jetzt erstmal abziehen, nicht wahr?
4427530	4447860	Okay.
4449580	4450760	Dann muss ich hier
4450760	4453020	die acht Punkte stelle ich nur ein.
4453560	4455340	Jetzt Initiative, Würfeln.
4457880	4624440	Elf. Wie breit
4624440	4625420	ist diese Treppe eigentlich?
4630430	4632730	Okay, also es besteht durchaus die Gefahr, dass wir
4632730	4635190	links und rechts runterfallen, dass es kein Geländer gibt, oder?
4647270	4648070	Ach so, ach so.
4648450	4653690	Ah, okay.
4654510	4656030	Also wir konnten nirgends runterfallen.
4656250	4656750	Okay, okay.
4664380	4680080	Dann greife ich die Blaster-Pistole
4680080	4682120	und reiche sie nach hinten zurück.
4694790	4696270	Ich gucke noch mal,
4696490	4697970	aber werfe noch mal einen Blick drauf auf sie.
4699350	4700190	Wann wird sie wieder
4700190	4701910	zu sich kommen ungefähr? Kann ich das abschätzen?
4703190	4703970	Dieser Schuss?
4734760	4735160	Okay.
4768840	4769120	Yes.
4769900	4824530	Yes, yes, yes. System saving flow. Not proficient. Yes. Ich ziehe meinen Deutsch aus ihrem linken Stiefel.
4824530	4907450	Bei allen Elementen, was ist denn mit mir passiert?
4908110	4909410	Das wollte ich gar nicht
4909410	4946970	Faires Nicken von
4946970	4949230	Doktor Rat
4949230	4959490	Ich glaube nicht, dass
4959490	5119880	weiß irgendjemand
5119880	5121480	irgendetwas über
5121480	5124040	solche alten unheiligen Tempel
5124040	5130640	Was erwartet uns wohl in der Kammer
5130640	5132200	Ist das schon sowas wie
5132200	5134320	das Allerheiligste
5134320	5136720	oder sind wir noch weit von sowas entfernt
5136720	5140200	Ich weiß
5140200	5142760	Mehr als Ammenmärchen
5142760	5145620	weiß ich leider nicht über sowas.
5146140	5174250	Ups, sorry.
5175290	5175810	Falscher Knopf.
5402620	5405460	Wenn ich dabei hilflich sein kann,
5405580	5406200	tue ich das gerne.
5432560	5573890	Oh, sorry. In schwarz.
5594730	5596690	Dann ist jetzt wohl
5596690	5597670	Vorsicht geboten.
5749850	5751410	Es gibt aber keine offensichtliche
5751410	5754090	physikalische Erklärung, warum die da in der Luft steht.
5798180	5799540	Und dieser Messingstab da,
5799540	5800940	oder was auch immer das dann ist,
5802180	5804060	der sieht ja sehr suspekt aus.
5804500	5805720	Sieht ja so aus, als könnte
5805720	5807100	der so eine Art Rohrbombe sein?
5816190	5817750	Sollten wir das vielleicht auch entschärfen?
5854700	5858440	Könnte versuchen,
5858540	5859280	sie zu überhitzen.
5862200	5864520	Aber das würde natürlich auch in einer Explosion...
5866500	5921970	Wie würde so ein
5921970	5923650	Ding wohl auf Säure
5923650	6018270	reagieren? Darf ich da eine Zwischenfrage
6018270	6018890	noch stellen?
6020350	6021890	Ich habe hier die Power
6021890	6024150	Tag Override. Das ist eine Reaction.
6027190	6031090	Ich weiß nur nicht...
6031090	6068020	Ja, ähm, wie poste ich das denn jetzt? Ah, deswegen bin ich nicht sicher. Es ist ja keine Creature und es ist, ich meine, es fungiert wahrscheinlich wie der Taktpower, aber ja, richtig.
6068020	6081780	Okay, nee, weißt du was?
6082720	6084420	Das war wahrscheinlich eine blöde Idee.
6084900	6086240	Was ich hätte machen sollen,
6086440	6088160	stattdessen ist,
6088360	6089380	hold on,
6090700	6091560	ist stattdessen
6091560	6093920	den Greater Energy Shield,
6095200	6096040	denn der geht ja
6096040	6097600	im Gegensatz zum 5E
6097600	6099500	Schild nicht nur auf mich,
6100240	6101960	sondern auf eine Creature innerhalb von
6101960	6106080	15 Feet. Und das ist ja
6106080	6114990	eine Reaction. Ach so.
6119320	6120180	Den Rettungswurf,
6120180	6160490	die Hände am Wristpad noch, die Hand am Wristpad.
6180470	6183690	Ich will euch nicht zu nahe treten, ich hatte mit dem Fehlschlag gerechnet.
6188870	6306060	Ja, mal da. Die steinere Frau, möglicherweise.
6345250	6346990	Könnten wir das Bild nochmal sehen?
6347170	6353640	Welches Bild ist das? Aha. Also der Obelisk
6353640	6356400	ist das schwarze Ding in der Mitte oder das schattige?
6357420	6378360	Aha, okay. Dann geht
6378360	6409640	Doktorat jetzt auch kommt näher, aber geht nicht die Treppenstufen hoch, sondern versucht rechts um den Obelisken herum zu luken. Ich habe übrigens auch Dark Vision. Also dann würde ich sogar einmal um den Obelisken herumgehen und auf der linken Seite wieder herauskommen.
6409640	6413700	Okay.
6513700	6519940	Tetraeder würde ich sagen.
6520040	6520980	Tetraeder förmig.
6550910	6552350	Bei mir ist es...
6552350	6563260	Also ich bin lore proficient,
6563840	6566300	aber darf ich dann auch oder ist es eher nicht?
6622430	6623670	Wir sind auf jeden Fall zu langsam.
6680650	6682690	Und es würde jetzt wahrscheinlich nach...
6682690	6683630	Also ich meine,
6684070	6685950	wir wissen zwar nicht genau,
6686010	6687270	wie die Sith-Tempel funktionieren,
6687270	6690110	aber es wirkt schon so,
6690310	6692710	als sei das hier das Herzstück des Tempels, oder?
6818500	6820980	Wenn die Black Sun tatsächlich
6820980	6823660	versucht hat, hier etwas zu bergen.
6825320	6827520	Und sie haben sich über uns eine
6827520	6829480	Raumschlacht mit Imperialen geliefert.
6830300	6831720	Dann werden sie wohl damit gerechnet haben,
6831940	6833460	dass jemand hierher kommt
6833460	6835520	voller Imperialen und ihnen
6835520	6836760	nachfolgt.
6863440	6863640	Ja, ja.
6883640	6884240	Wahrscheinlich
6884240	6886340	das Ziel der Suche.
6888580	6889760	Dr. Nero, nicht Dr.
6889760	6891360	Captain Nero weiß vielleicht mehr.
6891800	7092500	Dann sollten wir auf jeden Fall
7092500	7094500	das dokumentieren.
7094660	7099580	scannen, irgendwie fotografieren,
7099660	7100100	was auch immer.
7102180	7235760	Das ist nicht die Wand
7235760	7237380	mit der Nische.
7237820	7239080	Die Nische war ja in der Mitte.
7243010	7247680	Okay. Aha.
7403620	7405140	Dann kann ich jetzt nicht noch eine Action
7405140	7407400	intersecten,
7407620	7409800	weil es keine Reaction ist, sondern nur eine Action.
7412060	7431420	Okay. Verdammt, verdammt,
7431420	7432540	verdammt, verdammt.
7450500	7451680	Also ich
7451680	7453660	sehe, wie der Arm
7453660	7455620	schwarzer wird sozusagen und
7455620	7457300	ich stürze auf ihn zu und
7457300	7459420	mit meinem
7459420	7460980	Biochemist-Kit
7460980	7465260	da krame ich
7465260	7467800	jetzt verschiedene Nadeln hervor
7467800	7469220	und
7469220	7471000	versuche
7471000	7472820	mit meinem
7472820	7476300	erstmal Adrenalin und
7476300	7478240	andere, sagen wir mal,
7478240	7479880	lebenserhaltende Mittel ihm zu
7479880	7481500	spritzen und versuche dann
7481500	7494400	einfach auf gut Glück so etwas möglichst antibakterielles zuzuspritzen.
7495340	7500980	Aber ich untersuche weiterhin auch mit meinen möglichen Mitteln, was das für ein Gift sein könnte.
7501660	7508220	Also ich versuche Chemikalien zu erschnüffeln oder solche Sachen.
7508220	7560880	Also ich nutze die Analysefähigkeiten meines Biochemist-Kits. Also den Schaden kann ich ja nicht mehr reduzieren. Der ist schon geschehen, dieser 4W8-Schaden. Sonst hätte ich den ja auch halbiert. Aber die Condition müsste jetzt beendet sein, oder?
7704300	7878080	Ich habe noch zwei. Das war wirklich jetzt sehr spannend.
